date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
2021-01-17,New York State,,,,,59872
2021-01-18,New York State,,,,,60012
2021-01-19,New York State,1000319,1884325,884908,102187,60112
2021-01-20,New York State,1046490,2057875,926339,106821,59145
2021-01-21,New York State,1116441,2213975,982183,120801,61124
2021-01-22,New York State,1203994,2367075,1048453,142005,63790
2021-01-23,New York State,1282515,2395950,1105935,162685,66334
2021-01-24,New York State,1365404,2395950,1172921,176659,69502
2021-01-25,New York State,1418313,2395950,1215450,183915,68387
2021-01-26,New York State,1453972,2401900,1245215,189791,64808
2021-01-27,New York State,1518697,2744450,1286705,212802,67458
2021-01-28,New York State,1630504,2812625,1320572,238722,73438
2021-01-29,New York State,1703218,2823575,1359970,271874,71318
2021-01-30,New York State,1791935,2932775,1417373,303102,72774
2021-01-31,New York State,1875462,2932775,1473614,329795,72865
2021-02-01,New York State,1927665,2932775,1511266,344325,72765
2021-02-02,New York State,1966446,2987075,1541235,353127,73211
2021-02-03,New York State,2003170,3241250,1562945,368054,69210
2021-02-04,New York State,2060301,3377325,1576553,388798,61400
2021-02-05,New York State,2132305,3378300,1610832,426368,61298
2021-02-06,New York State,2225316,3378300,1661253,468747,61912
2021-02-07,New York State,2336867,3378300,1722302,519101,65915
2021-02-08,New York State,2418074,3378300,1767666,554262,70058
2021-02-09,New York State,2441693,3428000,1795592,572426,67892
2021-02-10,New York State,2535824,3731300,1833754,619504,76093
2021-02-11,New York State,2620734,3843300,1869595,668178,80062
2021-02-12,New York State,2712546,3870175,1907783,721554,82892
2021-02-13,New York State,2821335,3941225,1959193,778565,85146
2021-02-14,New York State,2925186,3969050,2007952,833444,84046
2021-02-15,New York State,,,,,85676
2021-02-16,New York State,3110432,3993825,2102037,924475,95534
2021-02-17,New York State,3178252,4018450,2138943,955337,91775
2021-02-18,New York State,3253874,4022525,2176004,993790,90449
2021-02-19,New York State,3447521,4165325,2296133,1066991,104996
2021-02-20,New York State,3535997,4165325,2334012,1117514,102095
2021-02-21,New York State,3621973,4171175,2369520,1167934,99541
2021-02-22,New York State,3711664,4171175,2408373,1218748,99122
2021-02-23,New York State,3772702,4836200,2433665,1254485,94610
2021-02-24,New York State,3821059,5349415,2457363,1279059,91830
2021-02-25,New York State,3879303,5514665,2490401,1304163,89347
2021-02-26,New York State,3955191,5627205,2532497,1337747,72524
2021-02-27,New York State,4060431,5757205,2595249,1380104,74919
2021-02-28,New York State,4225250,5757205,2697721,1442220,86182
2021-03-01,New York State,4355544,5757205,2784587,1485601,91983
2021-03-02,New York State,4495821,5987175,2887869,1522346,103303
2021-03-03,New York State,4607571,6443525,2965267,1556522,112359
2021-03-04,New York State,4730809,6565865,3059307,1585561,121644
2021-03-05,New York State,4864621,6849315,3162405,1616099,129919
2021-03-06,New York State,5042187,7010045,3300056,1655487,140251
2021-03-07,New York State,5237597,7010045,3447101,1703626,144621
2021-01-12,North Carolina,211610,836450,189213,19293,
2021-01-13,North Carolina,266938,852000,228686,35148,55328
2021-01-14,North Carolina,268212,969700,233038,,28301
2021-01-15,North Carolina,302824,999650,259859,42790,30405
2021-01-16,North Carolina,,,,,28926
2021-01-17,North Carolina,,,,,28038
2021-01-18,North Carolina,,,,,27447
2021-01-19,North Carolina,400779,999650,346533,54012,27024
2021-01-20,North Carolina,427480,1118250,368818,58407,22935
2021-01-21,North Carolina,473282,1157100,406257,66736,29296
2021-01-22,North Carolina,524914,1192375,450144,74427,31727
2021-01-23,North Carolina,577007,1246600,497387,79197,35671
2021-01-24,North Carolina,636439,1246600,552194,83752,40662
2021-01-25,North Carolina,676037,1246600,589436,86064,42821
2021-01-26,North Carolina,699722,1250900,611853,87292,42706
2021-01-27,North Carolina,716748,1397275,627980,88145,41324
2021-01-28,North Carolina,849801,1399775,728551,120480,53788
2021-01-29,North Carolina,851223,1400375,729507,120946,46616
2021-01-30,North Carolina,898736,1423475,762635,135263,45961
2021-01-31,North Carolina,951657,1423475,800782,149906,45031
2021-02-01,North Carolina,975743,1423475,818858,155824,42815
2021-02-02,North Carolina,976153,1490350,819119,155973,39490
